ESTADO,MUNICíPIO,LULA VOTOS,LULA VOTOS PERCENTUAL,BOLSONARO VOTOS,BOLSONARO PERCENTUAL,CIRO VOTOS,CIRO VOTOS PERCENTUAL,TEBET VOTOS,TEBET VOTOS PERCENTUAL,OUTROS VOTOS,OUTROS VOTOS PERCENTUAL,ABSTENÇÕES,ABSTENÇÕES PERCENTUAL,VOTOS BRANCOS,VOTOS BRANCOS PERCENTUAL,VOTOS NULOS,VOTOS NULOS PERCENTUAL
RR,Caracaraí,3213,28.1,7545,65.98,231,2.02,382,3.34,1,0.01,2467,17.44,59,0.51,187,1.60
RR,Caroebe,1074,19.46,4161,75.41,83,1.5,177,3.21,0,0.0,851,13.13,26,0.46,87,1.55
RR,Iracema,1421,29.46,3114,64.55,51,1.06,220,4.56,0,0.0,773,13.42,37,0.74,125,2.51
RR,Mucajaí,2232,21.92,7441,73.08,115,1.13,360,3.54,0,0.0,2009,16.16,51,0.49,191,1.83
RR,Normandia,2686,40.92,3682,56.09,49,0.75,129,1.97,0,0.0,969,12.68,22,0.33,89,1.33
RR,Pacaraima,2279,34.16,4104,61.51,103,1.54,156,2.34,1,0.01,1632,19.37,26,0.38,97,1.43
RR,Rorainópolis,4377,26.99,10921,67.35,290,1.79,542,3.34,0,0.0,3812,18.62,137,0.83,307,1.84
RR,São João da Baliza,1369,33.02,2519,60.76,43,1.04,189,4.56,0,0.0,668,13.53,35,0.82,87,2.04
RR,São Luiz,1418,28.86,3220,65.53,84,1.71,167,3.4,0,0.0,926,15.51,30,0.60,99,1.96
RR,Uiramutã,3600,66.62,1709,31.62,25,0.46,67,1.24,0,0.0,793,12.53,15,0.27,117,2.11
RS,Aceguá,1201,40.53,1576,53.19,38,1.28,138,4.66,0,0.0,793,20.69,46,1.51,31,1.02
RS,Água Santa,859,32.39,1601,60.37,48,1.81,119,4.49,0,0.0,396,12.78,33,1.22,17,0.63
RS,Agudo,4418,41.57,5322,50.08,203,1.91,554,5.21,0,0.0,1393,11.22,268,2.43,130,1.18
RS,Ajuricaba,1623,33.17,2877,58.8,137,2.8,198,4.05,0,0.0,907,15.38,48,0.96,50,1.00
RS,Alecrim,2095,45.98,2095,45.98,129,2.83,197,4.32,0,0.0,785,14.34,58,1.24,76,1.62
RS,Alegrete,21062,50.94,16548,40.02,1064,2.57,2365,5.72,2,0.0,15628,26.85,661,1.55,558,1.31
RS,Alegria,1277,47.85,1216,45.56,49,1.84,118,4.42,0,0.0,520,15.84,59,2.14,34,1.23
RS,Almirante Tamandaré do Sul,619,38.12,857,52.77,58,3.57,71,4.37,0,0.0,225,11.87,20,1.19,26,1.56
RS,Alpestre,2465,50.88,2069,42.7,99,2.04,175,3.61,0,0.0,1184,19.02,134,2.66,62,1.23
RS,Alto Alegre,573,38.95,695,47.25,132,8.97,55,3.74,0,0.0,241,13.67,32,2.10,19,1.25
RS,Alto Feliz,507,23.01,1436,65.18,59,2.68,163,7.4,0,0.0,420,15.27,51,2.19,77,3.30
RS,Alvorada,50281,48.36,44110,42.43,3303,3.18,4971,4.78,17,0.02,29130,21.10,2549,2.34,2378,2.18
RS,Amaral Ferrador,1757,49.06,1474,41.16,177,4.94,156,4.36,0,0.0,844,18.24,131,3.46,70,1.85
RS,Ametista do Sul,2173,44.76,2454,50.55,121,2.49,87,1.79,0,0.0,772,13.41,67,1.35,65,1.30
RS,André da Rocha,327,30.5,658,61.38,32,2.99,47,4.38,0,0.0,212,16.05,22,1.99,15,1.35
RS,Anta Gorda,668,17.1,2989,76.5,73,1.87,132,3.38,0,0.0,671,14.03,101,2.46,102,2.48
RS,Antônio Prado,1644,18.68,6469,73.49,205,2.33,361,4.1,0,0.0,1407,13.36,152,1.67,170,1.86
RS,Arambaré,1198,45.73,1209,46.15,90,3.44,104,3.97,0,0.0,804,22.93,43,1.59,39,1.44
RS,Araricá,1615,35.21,2732,59.56,75,1.64,132,2.88,0,0.0,1001,17.41,82,1.72,81,1.71
RS,Aratiba,2216,42.54,2730,52.41,79,1.52,142,2.73,0,0.0,903,14.39,101,1.88,61,1.14
RS,Arroio Grande,6981,60.53,3619,31.38,345,2.99,525,4.55,1,0.01,2800,18.99,228,1.91,184,1.54
RS,Arroio do Meio,4298,30.53,8498,60.36,303,2.15,792,5.63,0,0.0,2045,12.31,225,1.54,262,1.80
RS,Arroio do Padre,375,16.15,1785,76.87,51,2.2,90,3.88,0,0.0,313,11.61,34,1.43,28,1.17
RS,Arroio do Sal,2049,34.37,3306,55.46,182,3.05,365,6.12,1,0.02,1642,20.93,102,1.64,142,2.29
RS,Arroio do Tigre,3479,42.34,4137,50.35,182,2.21,369,4.49,1,0.01,1763,17.03,208,2.42,165,1.92
RS,Arroio dos Ratos,4151,53.3,2980,38.26,203,2.61,384,4.93,0,0.0,2109,20.46,241,2.94,168,2.05
RS,Arvorezinha,2307,33.59,4195,61.08,138,2.01,184,2.68,0,0.0,1404,16.23,248,3.42,132,1.82
RS,Augusto Pestana,1522,31.09,3046,62.21,109,2.23,171,3.49,0,0.0,736,12.76,66,1.31,71,1.41
RS,Áurea,1014,37.81,1485,55.37,45,1.68,114,4.25,0,0.0,302,9.73,75,2.67,45,1.61
RS,Bagé,34767,52.28,26272,39.51,1775,2.67,3014,4.53,6,0.01,21888,24.04,1415,2.05,1260,1.82
RS,Balneário Pinhal,3154,46.01,3071,44.8,191,2.79,362,5.28,0,0.0,2677,27.26,135,1.89,154,2.16
RS,Barão,1142,27.03,2680,63.43,115,2.72,229,5.42,0,0.0,537,10.86,77,1.75,104,2.36
RS,Barão de Cotegipe,1695,38.25,2437,55.0,54,1.22,211,4.76,0,0.0,732,13.56,135,2.89,102,2.19
RS,Barão do Triunfo,1354,37.31,1893,52.16,83,2.29,253,6.97,0,0.0,667,14.93,110,2.89,63,1.66
